Thời gian xảy ra tai nạn,Ngày xảy ra tai nạn,Quận/Huyện,Phường/Xã,Loại đường,Số người chết,Số người bị thương,Số người thương nặng,Số người thương nhẹ,Nhóm PT1,Phương tiện 1,Nhóm PT2,Phương tiện 2,Thiệt hại ước tính (triệu đồng),Phân loại tai nạn,Tình trạng thời tiết,Hình thức va chạm,Dạng đường,Loại mặt đường,Độ rộng đường,Tình trạng mặt đường,Tổ chức giao thông,Vòng xuyến,Nguyên nhân và Lỗi vi phạm
23:30:00,29/12/2020,Thủ Đức,Linh Trung,Quốc lộ,0,1,1,0,Ô tô tải,Ô tô tải,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,0,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
11:55:00,29/12/2020,Thủ Đức,Trường Thọ,Đường huyện,1,0,0,0,"Mô tô, xe máy",Hai bánh dưới 50cm3,Ô tô tải,Ô tô tải,1,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chấp hành báo hiệu đường bộ']
8:55:00,29/12/2020,2,Thạnh Mỹ Lợi,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Đầu kéo,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
2:50:00,29/12/2020,5,5,Đường tỉnh - Nội thị,0,0,0,0,Ô tô tải,Ô tô tải,,,140,Nghiêm trọng,Râm,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Sử dụng chất ma túy']
18:50:00,28/12/2020,Nhà Bè,Phước Kiển,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô xi téc,10,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
18:30:00,28/12/2020,Bình Thạnh,13,Quốc lộ - Nội thị,1,0,0,0,Ô tô con,Ô tô con,"Mô tô, xe máy",Hai bánh dưới 50cm3,0,Nghiêm trọng,Đêm tối,Xe với xe,,,,,,Không,['Không chấp hành báo hiệu đường bộ']
16:30:00,28/12/2020,Gò Vấp,7,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô khách,Ô tô Buýt,0.5,Nghiêm trọng,Râm,Trường hợp khác,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
13:30:00,28/12/2020,Bình Chánh,Tân Kiên,Đường xã,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Tải thùng kín,4,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Thiếu chú ý quan sát']
8:15:00,28/12/2020,9,Tăng Nhơn Phú B,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,,Không,['Không chú ý quan sát']
8:10:00,28/12/2020,12,An Phú Đông,Quốc lộ,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
22:10:00,27/12/2020,9,Tân Phú,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
21:55:00,27/12/2020,Hóc Môn,Đông Thạnh,Đường tỉnh,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),1,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
20:30:00,27/12/2020,Nhà Bè,Phú Xuân,Đường huyện,0,1,0,1,"Mô tô, xe máy",Mô tô,Ô tô tải,Ô tô chở hàng (Ô tô tải),4.5,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Tránh xe đi ngược chiều không đúng quy định']
15:15:00,27/12/2020,Bình Thạnh,26,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
14:30:00,27/12/2020,Củ Chi,Tân An Hội,Đường xã - Nông thôn,1,0,0,0,Ô tô tải,Ô tô chở hàng (Ô tô tải),"Mô tô, xe máy",Hai bánh từ 50-175cm3,5,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Lùi xe không đúng quy định']
13:25:00,27/12/2020,1,Nguyễn Cư Trinh,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Mô tô,Ô tô con,Ô tô con,5,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
12:30:00,27/12/2020,9,Phước Long B,Đường huyện,0,1,0,1,Ô tô con,Ô tô con,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,,,Không,['Không chú ý quan sát']
11:00:00,27/12/2020,2,An Phú,Cao tốc - Nội thị,0,0,0,0,Ô tô tải,Đầu kéo,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
14:10:00,26/12/2020,Hóc Môn,Tân Hiệp,Đường huyện - Nội thị,1,0,0,0,Ô tô tải,Tải tự đổ,,,0,Nghiêm trọng,Nắng,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chấp hành báo hiệu đường bộ']
11:30:00,26/12/2020,Bình Thạnh,25,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Không thực hiện đúng quy trình thao tác lái xe']"
0:10:00,26/12/2020,Bình Thạnh,25,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
22:20:00,25/12/2020,Bình Thạnh,25,Đường tỉnh - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường một chiều,Không,['Chuyển hướng không đúng quy định']
20:10:00,25/12/2020,Bình Chánh,Tân Túc,Đường tỉnh - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,40,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
18:00:00,25/12/2020,Bình Thạnh,13,Đường tỉnh - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường một chiều,Không,"['Mệt mỏi, ngủ gật']"
16:50:00,25/12/2020,Bình Thạnh,25,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô con,Ô tô con,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
15:40:00,25/12/2020,Bình Thạnh,22,Đường tỉnh - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không chú ý quan sát']
19:00:00,24/12/2020,Bình Chánh,An Phú Tây,Quốc lộ - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,1,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,,Khô,,Không,['Không chú ý quan sát']
18:10:00,24/12/2020,Bình Chánh,An Phú Tây,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,2,Nghiêm trọng,Đêm tối,Người với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,,Không,['Qua đường không đúng quy định']
11:30:00,24/12/2020,1,Nguyễn Thái Bình,Đường huyện - Nội thị,0,2,1,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,5,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông xi măng,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Chuyển hướng không đúng quy định', 'Lỗi và nguyên nhân khác']"
9:30:00,24/12/2020,1,Nguyễn Thái Bình,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô chở hàng (Ô tô tải),20,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Vượt xe không đúng quy định', 'Không chấp hành báo hiệu đường bộ']"
22:18:00,23/12/2020,Tân Bình,13,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Sử dụng bia rượu quá nồng độ quy định', 'Không chấp hành báo hiệu đường bộ', 'Sử dụng bia rượu']"
21:15:00,23/12/2020,2,Thạnh Mỹ Lợi,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,3,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
18:00:00,23/12/2020,Thủ Đức,Trường Thọ,Quốc lộ,0,1,0,1,Ô tô con,Ô tô con,Ô tô con,Ô tô con,40,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
17:55:00,23/12/2020,Thủ Đức,Linh Trung,Quốc lộ,0,0,0,0,Ô tô tải,Tải có mui,Ô tô con,Ô tô con,40,Ít nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
17:15:00,23/12/2020,Bình Chánh,Tân Túc,Quốc lộ,1,1,0,0,Ô tô khách,Ô tô Khách từ 46 chỗ trở lên,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1,Nghiêm trọng,"Mưa, lũ lụt",Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Ướt trơn,Đường đôi - Giải phân cách ở giữa,Không,['Lỗi và nguyên nhân khác']
11:00:00,23/12/2020,Hóc Môn,Xuân Thới Sơn,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
10:45:00,23/12/2020,Hóc Môn,Thới Tam Thôn,Đường huyện,1,0,0,0,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,,,,,Không,['Vượt xe không đúng quy định']
0:40:00,23/12/2020,12,An Phú Đông,Quốc lộ - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Ướt trơn,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
23:00:00,22/12/2020,5,10,Đường tỉnh,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
21:00:00,22/12/2020,5,10,Đường tỉnh,0,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Mô tô,0,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Không chú ý quan sát']
20:30:00,22/12/2020,Củ Chi,Trung Lập Hạ,Đường xã - Nông thôn,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
15:10:00,22/12/2020,Bình Chánh,Tân Kiên,Quốc lộ - Nông thôn,0,0,0,0,"Rơ mooc, Sơ mi rơ mooc",Ô tô sơ mi,Ô tô khách,Ô tô Khách từ 30 đến 45 chỗ,40,Ít nghiêm trọng,Râm,Xe với xe,Thẳng - Phẳng - Cầu,Bê tông nhựa,,Khô,Đường một chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
14:30:00,22/12/2020,Bình Thạnh,12,Khác,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường một chiều,Không,"['Mệt mỏi, ngủ gật']"
11:20:00,22/12/2020,5,5,Đường tỉnh,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
10:20:00,22/12/2020,Bình Thạnh,3,Đường huyện,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Nắng,Xe với xe,,,,,,Không,['Chuyển hướng không đúng quy định']
7:05:00,22/12/2020,Nhà Bè,Nhơn Đức,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
1:00:00,22/12/2020,Bình Chánh,Tân Túc,Đường huyện,0,0,0,0,Ô tô tải,Ô tô tải,,,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
20:05:00,21/12/2020,Bình Chánh,An Phú Tây,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh,"Mô tô, xe máy",Hai bánh,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,"['Mệt mỏi, ngủ gật']"
16:30:00,21/12/2020,Bình Chánh,Bình Chánh,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,,Không,['Lỗi và nguyên nhân khác']
5:30:00,21/12/2020,Bình Chánh,Tân Nhựt,Đường huyện - Nông thôn,0,0,0,0,Ô tô tải,Ô tô tải,Ô tô tải,Ô tô tải,25,Ít nghiêm trọng,Nắng,Người với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
2:30:00,21/12/2020,Gò Vấp,10,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,,,4.5,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
23:50:00,20/12/2020,Bình Thạnh,22,Khác,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng - Cầu,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường một chiều,Không,"['Không giữ khoảng cách an toàn với xe chạy liền trước', 'Sử dụng bia rượu quá nồng độ quy định']"
23:25:00,20/12/2020,Bình Thạnh,26,Quốc lộ - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường một chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
21:55:00,20/12/2020,12,Thạnh Lộc,Quốc lộ - Nội thị,1,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô chở hàng thông dụng,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Qua đường không đúng quy định', 'Đi không đúng chiều đường, phần đường, làn đường quy định']"
21:30:00,20/12/2020,Bình Tân,Tân Tạo A,Đường huyện,0,1,1,0,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,0,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
18:40:00,20/12/2020,Bình Thạnh,11,Khác,0,0,0,0,Ô tô con,Ô tô con,,,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường một chiều,Không,"['Mệt mỏi, ngủ gật']"
18:30:00,20/12/2020,Bình Chánh,An Phú Tây,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Vượt xe không đúng quy định']
12:50:00,20/12/2020,5,1,Đường tỉnh,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,2,Nghiêm trọng,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
11:30:00,20/12/2020,2,Thảo Điền,Đường tỉnh - Nội thị,0,1,0,1,Ô tô tải,Ô tô tải,,,4,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường đôi - Giải phân cách ở giữa,Có,['Không chú ý quan sát']
5:00:00,20/12/2020,1,Nguyễn Thái Bình,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,20,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
4:15:00,20/12/2020,Bình Chánh,Tân Túc,Đường huyện - Nông thôn,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
3:35:00,20/12/2020,1,Bến Nghé,Đường huyện,0,1,0,1,Ô tô khách,Ô tô Khách từ 10 đến 16 chỗ,"Mô tô, xe máy",Hai bánh từ 50-175cm3,5,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường một chiều,Không,"['Không giữ khoảng cách an toàn với xe chạy liền trước', 'Không có giấy phép lái xe hoặc giấy phép lái xe không hợp lệ']"
2:00:00,20/12/2020,Tân Phú,Phú Thọ Hòa,Đường huyện - Nội thị,0,1,0,1,Ô tô con,Ô tô con,"Mô tô, xe máy",Mô tô,3,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
22:45:00,19/12/2020,12,Đông Hưng Thuận,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,3,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
19:10:00,19/12/2020,1,Tân Định,Đường huyện - Nội thị,0,1,1,0,"Mô tô, xe máy",Mô tô,,,1,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Cong cua,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Lỗi và nguyên nhân khác', 'Đi không đúng chiều đường, phần đường, làn đường quy định']"
14:30:00,19/12/2020,Nhà Bè,Long Thới,Đường huyện - Nội thị,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,2,Nghiêm trọng,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
12:54:00,19/12/2020,1,Bến Nghé,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,,,10,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Đá,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không thực hiện đúng quy trình thao tác lái xe']
9:15:00,19/12/2020,Bình Thạnh,22,Đường tỉnh - Nội thị,0,0,0,0,Ô tô khách,Ô tô Buýt,Ô tô con,Ô tô con,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
1:00:00,19/12/2020,Tân Bình,9,Đường huyện - Nội thị,1,1,0,1,Ô tô tải,Ô tô chở hàng (Ô tô tải),"Mô tô, xe máy",Hai bánh từ 50-175cm3,10,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Lùi xe không đúng quy định', 'Sử dụng bia rượu quá nồng độ quy định', 'Chuyển hướng không đúng quy định']"
20:55:00,18/12/2020,Thủ Đức,Hiệp Bình Chánh,Đường huyện,0,1,1,0,"Mô tô, xe máy",Hai bánh dưới 50cm3,Ô tô con,Ô tô con,5,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
19:50:00,18/12/2020,Nhà Bè,Phú Xuân,Đường huyện,1,1,0,1,"Mô tô, xe máy",Mô tô,,,0,Nghiêm trọng,Đêm tối,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Qua đường không đúng quy định']
13:46:00,18/12/2020,Gò Vấp,7,Đường huyện,0,0,0,0,Ô tô con,Ô tô con pickup,Ô tô con,Ô tô con,4.5,Va chạm giao thông,Nắng,Trường hợp khác,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
13:45:00,18/12/2020,Hóc Môn,Tân Hiệp,Đường tỉnh,1,0,0,0,Ô tô tải,Tải tự đổ,"Mô tô, xe máy",Hai bánh từ 50-175cm3,5,Nghiêm trọng,Nắng,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
4:40:00,18/12/2020,Bình Chánh,Tân Kiên,Đường huyện,1,0,0,0,Ô tô tải,Ô tô chở hàng (Ô tô tải),Ô tô tải,Đầu kéo,30,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,,Không,['Không chú ý quan sát']
1:00:00,18/12/2020,1,Nguyễn Cư Trinh,Đường huyện - Nội thị,0,2,0,2,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,0,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Sử dụng bia rượu quá nồng độ quy định', 'Không có giấy phép lái xe hoặc giấy phép lái xe không hợp lệ', 'Sử dụng bia rượu']"
